number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0000070,Closed,False,1,0,9,False,Caller 3757,Opened by  131,29/2/2016 08:11,Created by 62,29/2/2016 08:38,Updated by 908,24/3/2016 18:40,Phone,Location 46,Category 9,Subcategory 164,Symptom 592,?,2 - Medium,2 - Medium,3 - Moderate,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 11,Resolved by 30,8/3/2016 09:55,24/3/2016 18:40
INC0000071,Closed,False,0,0,7,True,Caller 271,Opened by  180,29/2/2016 08:12,Created by 81,29/2/2016 08:17,Updated by 908,6/3/2016 11:00,Phone,Location 161,Category 9,Subcategory 164,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 227,1/3/2016 10:38,6/3/2016 11:00
INC0000073,Closed,False,1,0,6,True,Caller 2519,Opened by  40,29/2/2016 08:22,Created by 20,29/2/2016 08:30,Updated by 908,6/3/2016 16:00,Phone,Location 42,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 11,Resolved by 208,1/3/2016 15:37,6/3/2016 16:00
INC0000074,Closed,False,0,0,19,False,Caller 527,Opened by  433,29/2/2016 08:23,?,?,Updated by 908,16/4/2016 15:07,Phone,Location 204,Category 45,Subcategory 220,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 193,True,True,Do Not Notify,?,CHG0000404,?,?,code 6,Resolved by 158,11/4/2016 14:39,16/4/2016 15:07
INC0000076,Closed,False,0,0,2,True,Caller 2949,Opened by  180,29/2/2016 08:25,Created by 81,29/2/2016 08:29,Updated by 908,5/3/2016 17:00,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 62,29/2/2016 16:27,5/3/2016 17:00
INC0000077,Closed,False,0,0,5,True,Caller 3304,Opened by  180,29/2/2016 08:27,?,?,Updated by 908,5/3/2016 10:00,Phone,Location 108,Category 32,Subcategory 9,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 85,29/2/2016 09:04,5/3/2016 10:00
INC0000079,Closed,False,1,0,4,True,Caller 2471,Opened by  180,29/2/2016 08:32,?,?,Updated by 908,5/3/2016 12:00,Phone,Location 204,Category 55,Subcategory 170,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:20,5/3/2016 12:00
INC0000080,Closed,False,0,0,7,True,Caller 1194,Opened by  24,29/2/2016 08:33,?,?,Updated by 908,7/3/2016 12:00,Phone,Location 229,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,2/3/2016 11:40,7/3/2016 12:00
INC0000083,Closed,False,1,0,4,True,Caller 4866,Opened by  131,29/2/2016 08:39,Created by 62,29/2/2016 08:56,Updated by 908,5/3/2016 17:00,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,?,3 - Low,3 - Low,4 - Low,Group 23,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 62,29/2/2016 16:05,5/3/2016 17:00
INC0000084,Closed,False,0,0,19,False,Caller 3038,Opened by  433,29/2/2016 08:39,?,?,Updated by 908,17/4/2016 15:07,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,?,3 - Low,3 - Low,4 - Low,Group 66,Resolver 175,True,True,Do Not Notify,?,CHG0000647,?,?,code 6,Resolved by 158,12/4/2016 14:46,17/4/2016 15:07
INC0000085,Closed,False,0,0,6,True,Caller 917,Opened by  180,29/2/2016 08:41,Created by 81,29/2/2016 08:47,Updated by 908,7/3/2016 15:00,Phone,Location 161,Category 20,Subcategory 125,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:44,7/3/2016 15:00
INC0000086,Closed,False,1,0,8,True,Caller 2403,Opened by  24,29/2/2016 08:43,Created by 13,29/2/2016 08:49,Updated by 908,6/3/2016 16:00,Phone,Location 98,Category 24,Subcategory 164,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 62,1/3/2016 15:45,6/3/2016 16:00
INC0000087,Closed,False,0,0,3,True,Caller 950,Opened by  180,29/2/2016 08:47,Created by 81,29/2/2016 08:56,Updated by 908,7/3/2016 15:00,Phone,Location 69,Category 53,Subcategory 194,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:46,7/3/2016 15:00
INC0000088,Closed,False,0,0,2,True,Caller 388,Opened by  180,29/2/2016 08:48,?,?,Updated by 908,5/3/2016 10:00,Phone,Location 93,Category 42,Subcategory 224,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 85,29/2/2016 09:05,5/3/2016 10:00
INC0000089,Closed,False,3,0,9,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 908,8/3/2016 15:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 609,?,2 - Medium,3 - Low,4 - Low,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000092,Closed,False,1,0,6,False,Caller 1811,Opened by  40,29/2/2016 08:55,?,?,Updated by 908,12/3/2016 09:00,Phone,Location 172,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 72,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 99,7/3/2016 08:45,12/3/2016 09:00
INC0000093,Closed,False,0,0,1,True,Caller 3545,Opened by  131,29/2/2016 08:56,?,?,Updated by 908,5/3/2016 10:00,Phone,Location 93,Category 61,Subcategory 164,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 66,?,5/3/2016 10:00
INC0000094,Closed,False,0,0,10,False,Caller 387,Opened by  433,29/2/2016 08:58,?,?,Updated by 908,24/3/2016 18:50,Phone,Location 204,Category 45,Subcategory 220,?,?,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 184,10/3/2016 10:45,24/3/2016 18:50
INC0000098,Closed,False,1,0,5,True,Caller 4043,Opened by  24,29/2/2016 09:02,Created by 13,29/2/2016 09:08,Updated by 908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:51,7/3/2016 15:00
INC0000099,Closed,False,1,0,3,True,Caller 5410,Opened by  180,29/2/2016 09:03,Created by 81,29/2/2016 09:06,Updated by 908,6/3/2016 10:00,Phone,Location 51,Category 24,Subcategory 164,Symptom 529,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 183,1/3/2016 09:05,6/3/2016 10:00
INC0000100,Closed,False,0,0,3,True,Caller 3082,Opened by  40,29/2/2016 09:05,Created by 20,29/2/2016 09:11,Updated by 908,7/3/2016 15:00,Phone,Location 161,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:53,7/3/2016 15:00
INC0000101,Closed,False,0,0,6,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 908,5/3/2016 12:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000102,Closed,False,4,1,19,False,Caller 307,Opened by  131,29/2/2016 09:06,Created by 62,29/2/2016 09:13,Updated by 908,24/3/2016 18:59,Phone,Location 46,Category 37,Subcategory 135,Symptom 87,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 4,Resolved by 30,17/3/2016 16:28,24/3/2016 18:59
INC0000103,Closed,False,0,0,3,True,Caller 4375,Opened by  180,29/2/2016 09:07,Created by 81,29/2/2016 09:10,Updated by 908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:54,7/3/2016 15:00
INC0000104,Closed,False,1,0,6,False,Caller 5180,Opened by  180,29/2/2016 09:08,Created by 81,29/2/2016 09:17,Updated by 908,6/3/2016 12:00,Phone,Location 51,Category 53,Subcategory 168,Symptom 116,?,1 - High,2 - Medium,2 - High,Group 30,Resolver 201,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 183,1/3/2016 11:55,6/3/2016 12:00
INC0000105,Closed,False,1,0,7,True,Caller 2949,Opened by  180,29/2/2016 09:10,Created by 81,29/2/2016 09:13,Updated by 908,5/3/2016 12:00,Phone,Location 93,Category 45,Subcategory 223,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,?,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 77,29/2/2016 11:58,5/3/2016 12:00
INC0000110,Closed,False,0,0,3,True,Caller 5540,Opened by  40,29/2/2016 09:13,Created by 20,29/2/2016 09:19,Updated by 908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:55,7/3/2016 15:00
INC0000111,Closed,False,0,0,3,True,Caller 4325,Opened by  180,29/2/2016 09:14,Created by 81,29/2/2016 09:19,Updated by 908,7/3/2016 15:00,Phone,Location 93,Category 53,Subcategory 130,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:56,7/3/2016 15:00
INC0000112,Closed,False,2,0,5,True,Caller 521,Opened by  131,29/2/2016 09:15,Created by 62,29/2/2016 09:18,Updated by 908,7/3/2016 16:00,Phone,Location 93,Category 37,Subcategory 135,Symptom 87,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 196,2/3/2016 15:13,7/3/2016 16:00
INC0000113,Closed,False,0,0,4,True,Caller 1658,Opened by  24,29/2/2016 09:18,Created by 13,29/2/2016 09:19,Updated by 908,7/3/2016 20:00,Phone,Location 204,Category 55,Subcategory 23,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 227,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 206,2/3/2016 19:30,7/3/2016 20:00
INC0000114,Closed,False,1,0,9,True,Caller 4554,Opened by  180,29/2/2016 09:18,?,?,Updated by 908,8/3/2016 02:00,Phone,Location 161,Category 53,Subcategory 194,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 174,3/3/2016 01:18,8/3/2016 02:00
INC0000115,Closed,False,2,0,5,True,Caller 5494,Opened by  131,29/2/2016 09:20,Created by 62,29/2/2016 09:31,Updated by 908,6/3/2016 09:00,Phone,Location 161,Category 9,Subcategory 164,Symptom 607,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 81,1/3/2016 08:50,6/3/2016 09:00
INC0000116,Closed,False,1,0,3,True,Caller 1488,Opened by  180,29/2/2016 09:20,Created by 81,29/2/2016 09:23,Updated by 908,6/3/2016 13:00,Phone,Location 108,Category 37,Subcategory 135,Symptom 529,?,2 - Medium,2 - Medium,3 - Moderate,Group 47,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 106,1/3/2016 12:02,6/3/2016 13:00
INC0000119,Closed,False,0,0,3,True,Caller 3842,Opened by  180,29/2/2016 09:22,Created by 81,29/2/2016 09:31,Updated by 908,6/3/2016 10:00,Phone,Location 161,Category 9,Subcategory 164,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 89,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 81,1/3/2016 09:03,6/3/2016 10:00
INC0000121,Closed,False,0,0,2,True,Caller 1932,Opened by  40,29/2/2016 09:25,Created by 20,29/2/2016 09:28,Updated by 908,5/3/2016 17:00,Phone,Location 93,Category 53,Subcategory 271,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:31,5/3/2016 17:00
INC0000122,Closed,False,1,0,4,True,Caller 3113,Opened by  24,29/2/2016 09:27,Created by 13,29/2/2016 09:34,Updated by 908,6/3/2016 17:00,Phone,Location 44,Category 45,Subcategory 107,Symptom 226,?,2 - Medium,2 - Medium,3 - Moderate,Group 22,?,True,False,Do Not Notify,?,?,?,?,code 3,Resolved by 139,1/3/2016 16:50,6/3/2016 17:00
INC0000123,Closed,False,0,0,3,True,Caller 4428,Opened by  180,29/2/2016 09:29,Created by 81,29/2/2016 09:38,Updated by 908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:56,7/3/2016 15:00
INC0000124,Closed,False,0,0,3,True,Caller 4907,Opened by  40,29/2/2016 09:30,Created by 20,29/2/2016 09:39,Updated by 908,5/3/2016 12:00,Phone,Location 108,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 159,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 143,29/2/2016 11:05,5/3/2016 12:00
INC0000125,Closed,False,1,0,6,True,Caller 154,Opened by  131,29/2/2016 09:31,Created by 62,29/2/2016 09:35,Updated by 908,6/3/2016 09:00,Phone,Location 108,Category 9,Subcategory 164,Symptom 607,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,True,Do Not Notify,Problem ID  2,?,?,?,code 11,Resolved by 153,1/3/2016 08:32,6/3/2016 09:00
INC0000126,Closed,False,0,0,3,True,Caller 3754,Opened by  180,29/2/2016 09:31,Created by 81,29/2/2016 09:42,Updated by 908,7/3/2016 15:00,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:57,7/3/2016 15:00
INC0000128,Closed,False,2,0,10,False,Caller 4539,Opened by  131,29/2/2016 09:36,Created by 62,29/2/2016 09:40,Updated by 908,24/3/2016 18:50,Phone,Location 36,Category 44,Subcategory 54,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 99,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 89,11/3/2016 12:15,24/3/2016 18:50
INC0000129,Closed,False,2,0,17,False,Caller 5340,Opened by  180,29/2/2016 09:40,Created by 81,29/2/2016 09:48,Updated by 908,27/3/2016 13:59,Phone,Location 135,Category 23,Subcategory 75,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 231,22/3/2016 13:30,27/3/2016 13:59
INC0000130,Closed,False,1,0,5,True,Caller 314,Opened by  62,29/2/2016 09:41,Created by 81,29/2/2016 07:17,Updated by 908,8/3/2016 11:00,Phone,Location 204,Category 61,Subcategory 164,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,3/3/2016 10:16,8/3/2016 11:00
INC0000131,Closed,False,0,0,3,True,Caller 3763,Opened by  433,29/2/2016 09:41,Created by 62,29/2/2016 07:14,Updated by 908,8/3/2016 10:00,Phone,Location 15,Category 45,Subcategory 220,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 175,True,False,Do Not Notify,?,?,?,?,code 2,Resolved by 184,3/3/2016 09:27,8/3/2016 10:00
INC0000132,Closed,False,2,0,5,True,Caller 3957,Opened by  131,29/2/2016 09:42,Created by 62,29/2/2016 09:50,Updated by 908,8/3/2016 16:00,Phone,Location 204,Category 9,Subcategory 164,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 135,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 121,3/3/2016 15:18,8/3/2016 16:00
INC0000134,Closed,False,1,0,4,True,Caller 2471,Opened by  501,29/2/2016 09:44,Created by 62,29/2/2016 07:46,Updated by 908,8/3/2016 09:00,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00
INC0000135,Closed,False,0,0,7,True,Caller 5331,Opened by  40,29/2/2016 09:45,Created by 62,29/2/2016 07:46,Updated by 908,5/3/2016 17:00,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 32,29/2/2016 16:17,5/3/2016 17:00
INC0000137,Closed,False,0,0,3,True,Caller 899,Opened by  24,29/2/2016 09:48,Created by 13,29/2/2016 08:18,Updated by 908,5/3/2016 12:00,Phone,Location 51,Category 32,Subcategory 9,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,29/2/2016 11:03,5/3/2016 12:00
INC0000139,Closed,False,1,0,6,True,Caller 3284,Opened by  131,29/2/2016 09:50,Created by 62,29/2/2016 10:16,Updated by 908,6/3/2016 10:00,Phone,Location 204,Category 53,Subcategory 303,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 208,1/3/2016 09:56,6/3/2016 10:00
INC0000140,Closed,False,1,0,7,True,Caller 3868,Opened by  180,29/2/2016 09:51,Created by 81,29/2/2016 09:54,Updated by 908,8/3/2016 12:00,Phone,Location 79,Category 9,Subcategory 164,Symptom 509,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 113,3/3/2016 11:59,8/3/2016 12:00
INC0000141,Closed,False,0,0,4,True,Caller 72,Opened by  40,29/2/2016 09:52,Created by 20,29/2/2016 09:54,Updated by 908,7/3/2016 15:00,Phone,Location 93,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:58,7/3/2016 15:00
INC0000146,Closed,False,0,0,3,True,Caller 220,Opened by  24,29/2/2016 09:57,Created by 13,29/2/2016 10:02,Updated by 908,7/3/2016 15:00,Phone,Location 55,Category 53,Subcategory 194,Symptom 208,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:59,7/3/2016 15:00
INC0000147,Closed,False,1,0,9,False,Caller 926,Opened by  40,29/2/2016 10:00,Created by 20,29/2/2016 10:08,Updated by 908,19/3/2016 10:00,Phone,Location 179,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,False,Do Not Notify,Problem ID  2,?,?,?,code 5,Resolved by 113,14/3/2016 09:49,19/3/2016 10:00
INC0000148,Closed,False,0,0,3,True,Caller 4279,Opened by  501,29/2/2016 10:00,Created by 216,29/2/2016 10:04,Updated by 908,7/3/2016 16:00,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 1,Resolved by 208,2/3/2016 15:00,7/3/2016 16:00
INC0000149,Closed,False,0,0,3,True,Caller 4331,Opened by  62,29/2/2016 10:01,Created by 33,29/2/2016 10:06,Updated by 908,7/3/2016 16:00,Phone,Location 142,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 15:01,7/3/2016 16:00
INC0000152,Closed,False,0,0,4,True,Caller 1913,Opened by  180,29/2/2016 10:08,Created by 81,29/2/2016 10:16,Updated by 908,8/3/2016 10:00,Phone,Location 51,Category 53,Subcategory 168,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 183,3/3/2016 09:23,8/3/2016 10:00
INC0000153,Closed,False,0,0,3,True,Caller 5150,Opened by  24,29/2/2016 10:10,Created by 13,29/2/2016 10:11,Updated by 908,7/3/2016 15:00,Phone,Location 108,Category 53,Subcategory 194,Symptom 208,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:55,7/3/2016 15:00
INC0000155,Closed,False,0,0,3,True,Caller 278,Opened by  180,29/2/2016 10:12,Created by 81,29/2/2016 10:13,Updated by 908,7/3/2016 16:00,Phone,Location 171,Category 53,Subcategory 194,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 15:02,7/3/2016 16:00
INC0000156,Closed,False,0,0,3,True,Caller 2811,Opened by  501,29/2/2016 10:14,Created by 216,29/2/2016 10:18,Updated by 908,7/3/2016 16:00,Phone,Location 93,Category 53,Subcategory 127,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 15:02,7/3/2016 16:00
